Tempo de execução do servidor (ms),Tempo de execução do cliente (ms)
178,77
161,61
129,28
130,29
132,31
132,31
133,32
128,27
130,29
131,31
129,29
129,29
129,28
130,30
128,28
131,30
133,32
134,33
134,33
138,37
139,39
157,57
137,36
131,30
132,31
163,63
135,35
135,34
128,28
144,43
130,30
130,29
137,36
132,31
127,27
139,38
130,30
149,48
